,Read Time(ms),Write Time(ms),NNF Time(ms),Axioms,Memory(MB)
oostt.owlfs.owl,150.972951,7.492030,1.430882,2854,9.285471999999999
ecocore.owlfs.owl,2570.907735,116.580643,18.484152,33828,-518.127968
cl.owlfs.owl,12792.961635,587.596072,127.520320,158177,-182.040192
mi.owlfs.owl,983.337465,59.643233,5.791034,14423,-170.69956000000002
MicroblogEntry.owlfs.owl,1.331437,0.279220,0.067014,33,0.5426879999999983
cido.owlfs.owl,1215.952985,67.535623,10.321406,26408,-270.19587199999995
geno.owlfs.owl,230.840005,12.241310,1.760248,3533,-296.658736
pno.owlfs.owl,9.761993,0.766047,0.114444,242,5.1988799999999955
roles.owlfs.owl,1.897371,0.241134,0.068643,51,0.8354079999999975
matl-prop.owlfs.owl,2.840083,0.286268,0.036110,68,1.2530079999999977
peco.owlfs.owl,573.843911,37.401890,6.299359,12583,-196.989936
zfs.owlfs.owl,21.510849,1.542010,0.222762,460,10.988375999999995
EDAM.owlfs.owl,1446.350644,99.545323,15.742098,34277,-503.341304
miapa.owlfs.owl,13.049187,1.091473,0.138148,273,5.746775999999997
lldr.owlfs.owl,3.189669,0.298727,0.030915,77,1.6761119999999998
symp.owlfs.owl,307.556147,18.222071,2.314100,6057,-328.47616800000003
fao.owlfs.owl,67.348465,3.265854,0.305548,913,3.940944000000002
SmartHome_Network.owlfs.owl,3.021490,0.271826,0.042194,58,1.2564080000000004
cdao.owlfs.owl,34.060139,3.588643,0.541116,931,20.13288
hsapdv.owlfs.owl,168.435357,10.827078,1.442307,3069,-327.77782399999995
informationrealization.owlfs.owl,2.334284,0.275215,0.033299,35,1.0055520000000016
agro.owlfs.owl,1011.678635,51.903542,7.879583,16517,-290.72337600000003
emapa.owlfs.owl,2643.796462,160.001645,34.908475,59843,-196.64198399999998
speciesnames.owlfs.owl,1.640959,0.549620,0.011751,22,0.0
omrse.owlfs.owl,0.698313,0.144436,0.005216,4,0.0
bspo.owlfs.owl,104.880058,5.919431,1.086359,1970,15.771351999999997
LCAPattern.owlfs.owl,1.537491,0.217897,0.070614,44,0.8285839999999993
caro.owlfs.owl,3001.422205,126.042499,13.030917,39766,-467.729128
obi.owlfs.owl,1953.712651,105.170362,21.752784,38186,-231.18870400000003
place.owlfs.owl,1.946414,0.468133,0.029220,34,0.627279999999999
fbbt.owlfs.owl,10287.099078,508.946984,93.911441,151880,-234.907464
bfo-1.1.owlfs.owl,16.471449,2.080167,0.361712,278,7.046832000000002
cio.owlfs.owl,27.030328,1.628642,0.496464,408,11.408599999999996
bto.owlfs.owl,2651.955411,146.477153,19.956526,47720,-178.1612
observation.owlfs.owl,2.737415,0.581869,0.045673,54,0.6692559999999972
mpio.owlfs.owl,35.570694,1.838840,0.235035,581,14.682103999999999
aeo.owlfs.owl,119.338828,7.004560,0.784337,1920,-341.24428
situation.owlfs.owl,2.040747,0.237122,0.015661,28,0.5853999999999999
taxrank.owlfs.owl,19.514923,1.363553,0.138299,463,11.323992000000004
eupath.owlfs.owl,640.005531,41.252039,6.498885,13162,-165.60429599999998
specieshabitat.owlfs.owl,3.070064,0.372232,0.048772,51,1.001655999999997
maxo.owlfs.owl,6507.919921,327.215851,62.494429,82462,-122.06052799999998
dectectorfinalstate.owlfs.owl,4.340818,1.052827,0.146518,87,2.099248000000003
bcgo_merged_inferred.owlfs.owl,1053.668707,54.942702,10.123463,19869,-214.384504
SmartHome_Geometry.owlfs.owl,1.902758,0.386481,0.023343,45,0.5006399999999971
phipo.owlfs.owl,3726.736113,182.204730,26.879262,50313,-380.747888
hancestro_inferred.owlfs.owl,72.814195,4.690414,0.836944,2128,12.70588
kisao_full.owlfs.owl,10.324410,0.825333,0.173280,235,5.452936000000001
aquaticresourceobservation.owlfs.owl,19.484622,1.297961,0.228210,412,9.228312000000003
plana.owlfs.owl,1088.968258,54.995935,8.749692,17179,-173.516632
